Year,"Country of origin","Country of asylum",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2017,China,Greece,G,FI,P,10,0,88,25,123
2021,Ghana,Greece,G,AR,P,0,0,88,16,104
2022,Brazil,Ireland,G,FI,P,11,0,88,14,113
2022,Philippines,Israel,G,FA,P,0,0,88,16,104
2015,"South Africa","Rep. of Korea",G,FA,P,0,0,88,23,111
2017,"Iran (Islamic Rep. of)","Netherlands (Kingdom of the)",G,RA,P,34,0,88,5,127
2021,Pakistan,"Netherlands (Kingdom of the)",G,FI,P,161,43,88,132,424
2015,Somalia,"Netherlands (Kingdom of the)",G,RA,P,61,0,88,0,149
2015,"Unknown ","Netherlands (Kingdom of the)",G,FI,P,69,0,88,24,181
2021,Somalia,"Netherlands (Kingdom of the)",G,FI,P,143,25,88,68,324
2014,Algeria,Norway,G,AR,P,0,0,88,0,88
2014,Iraq,Romania,G,FI,P,111,10,88,0,209
2019,Rwanda,"South Africa",G,FI,P,22,0,88,0,110
2019,Tunisia,Spain,G,FI,P,5,0,88,0,93
2019,"Venezuela (Bolivarian Republic of)",Sweden,G,AR,P,0,0,88,15,103
2021,Morocco,Sweden,G,AR,P,0,0,88,13,101
2020,Lebanon,Sweden,G,FI,P,5,5,88,36,134
2014,"Iran (Islamic Rep. of)","Syrian Arab Rep.",U,AR,P,0,0,88,0,88
2018,Philippines,"United States of America",G,IN,C,15,0,88,179,282
2019,"Unknown ","United States of America",G,EO,P,96,0,88,5448,5632
2022,Colombia,"United States of America",G,AR,P,56,0,88,424,568
2020,Bangladesh,"United States of America",G,EO,P,118,0,88,23,229
2023,Uzbekistan,"United States of America",G,EO,P,245,0,88,136,469
2023,"Rep. of Moldova",Belgium,G,JR,P,0,0,87,0,87
2014,Mauritania,Belgium,G,JR,C,19,0,87,5,111
2023,Senegal,Belgium,G,JR,P,18,0,87,0,105
2016,Morocco,Belgium,G,FI,P,16,0,87,15,118
2024,Türkiye,Canada,G,AR,P,35,0,87,10,132
2021,Algeria,Canada,G,AR,P,52,0,87,0,139
2021,Egypt,Canada,G,AR,P,40,0,87,0,127
2017,Ethiopia,Canada,G,FI,P,279,0,87,11,377
2023,Peru,Canada,G,FI,P,93,0,87,58,238
2017,"Viet Nam",Cyprus,G,AR,P,0,0,87,12,99
2016,Stateless,Denmark,G,AR,P,5,5,87,0,97
2020,Nepal,France,G,FI,P,5,0,87,0,92
2016,"Western Sahara",France,G,AR,P,20,0,87,11,118
2020,Togo,France,G,FI,P,25,0,87,0,112
2021,Albania,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,119,0,87,20,226
2017,Sudan,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,103,0,87,10,200
2020,Albania,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,128,0,87,40,255
2018,Malaysia,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,67,0,87,32,186
2018,Kenya,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,5,10,87,5,107
2015,Egypt,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,33,0,87,10,130
2015,"Russian Federation","United Kingdom of Great Britain and Northern Ireland",G,FI,P,50,5,87,21,163
2017,Indonesia,Hungary,G,FI,P,0,0,87,0,87
2024,Egypt,Ireland,G,FI,P,5,0,87,10,102
2015,Nigeria,Ireland,G,FI,P,0,0,87,37,124
2024,Algeria,Italy,G,FI,P,0,0,87,11,98
2022,Philippines,"Rep. of Korea",G,AR,C,0,0,87,10,97
2021,Egypt,Malta,G,FI,P,0,0,87,26,113
2014,Uganda,"Netherlands (Kingdom of the)",G,FI,P,67,11,87,0,165
2014,"Sri Lanka","Netherlands (Kingdom of the)",G,FI,P,10,21,87,0,118
2024,Türkiye,Norway,G,FI,P,45,0,87,32,164
2019,Egypt,"South Africa",G,FI,P,0,0,87,0,87
2021,Palestinian,Sweden,G,RA,P,5,0,87,24,116
2021,Gambia,Sweden,G,AR,P,5,0,87,5,97
2022,Lebanon,Sweden,G,RA,P,0,0,87,5,92
2018,Egypt,Sweden,G,JR,P,0,0,87,35,122
2015,Somalia,Sweden,G,RA,P,52,32,87,623,794
2023,Eritrea,Sweden,G,AR,P,0,0,87,14,101
2017,Kazakhstan,Sweden,G,FI,P,0,0,87,126,213
2022,Somalia,Sweden,G,RA,P,10,5,87,39,141
2016,Ukraine,Switzerland,G,FI,P,5,19,87,73,184
2017,Somalia,Switzerland,G,FI,P,146,480,87,510,1223
2022,"Russian Federation","United States of America",G,EO,P,612,0,87,195,894
2020,"El Salvador","United States of America",G,AR,P,19,0,87,338,444
2024,Brazil,"United States of America",G,IN,P,10,0,87,1050,1147
2022,Jordan,"United States of America",G,IN,P,43,0,87,80,210
2017,Cameroon,"United States of America",G,EO,P,217,0,87,18,322
2020,Mongolia,Austria,G,FA,P,13,10,86,0,109
2019,Morocco,Austria,G,FA,P,5,5,86,10,106
2023,Armenia,Belgium,G,FI,P,5,0,86,14,105
2024,"Unknown ",Belgium,G,JR,P,10,0,86,38,134
2024,Afghanistan,Bulgaria,G,FA,P,0,23,86,3893,4002
2016,"Venezuela (Bolivarian Republic of)",Canada,G,FI,P,275,0,86,5,366
2020,Somalia,Canada,G,AR,P,42,0,86,0,167
2022,Lebanon,Canada,G,FI,P,325,0,86,26,437
2018,Mexico,Canada,G,AR,P,5,0,86,10,101
2021,Egypt,Canada,G,FI,P,442,0,86,16,544
2016,Chad,Cameroon,U,FI,P,5,0,86,145,236
2017,Ukraine,Cyprus,G,FI,P,0,0,86,23,109
2016,Bangladesh,Finland,G,FI,P,0,0,86,53,139
2021,Liberia,France,G,FI,P,11,0,86,0,97
2017,Colombia,France,G,FI,P,15,18,86,5,124
2023,Madagascar,France,G,AR,P,5,0,86,255,346
2016,"Iran (Islamic Rep. of)",France,G,FI,P,118,5,86,0,209
2024,Nepal,France,G,FI,P,5,0,86,0,91
2021,"Iran (Islamic Rep. of)","United Kingdom of Great Britain and Northern Ireland",G,AR,C,184,0,86,52,322
2014,Cameroon,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,30,5,86,0,121
2021,Namibia,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,26,12,86,10,134
2023,China,Germany,G,FI,P,82,5,86,82,255
2022,Sudan,Germany,G,JR,P,10,52,86,179,327
2022,Sudan,Germany,G,FI,P,74,29,86,99,288
2019,Mongolia,Germany,G,NA,P,5,16,86,48,155
2023,Türkiye,Greece,G,FI,P,176,0,86,1184,1446
2015,Bangladesh,Hungary,G,FA,P,0,0,86,3075,3161
2022,Bangladesh,Ireland,G,FI,P,10,5,86,36,137
2018,"South Africa",Ireland,G,FI,P,5,0,86,11,102
2022,Ukraine,Israel,G,FA,P,0,5,86,169,260
2023,"Bosnia and Herzegovina",Italy,G,FI,P,0,0,86,10,96
2024,Benin,Italy,G,FI,P,5,5,86,15,111
2015,Algeria,Italy,G,FI,P,5,27,86,0,118
2017,Ghana,"Rep. of Korea",G,FA,P,0,0,86,5,91
2024,Mongolia,"Rep. of Korea",G,FI,P,0,0,86,39,125
2016,Stateless,"Netherlands (Kingdom of the)",G,FI,P,1654,0,86,132,1872
2014,Congo,"Netherlands (Kingdom of the)",G,FI,P,5,17,86,0,108
2015,Pakistan,"Netherlands (Kingdom of the)",G,FI,P,52,0,86,18,156
2015,Afghanistan,Romania,G,FI,P,11,5,86,0,102
2021,Guinea-Bissau,Spain,G,FI,P,0,0,86,0,86
2020,Lebanon,Spain,G,FI,P,0,5,86,0,91
2022,Nigeria,Sweden,G,FI,P,22,0,86,79,187
2014,Yemen,Sweden,G,AR,P,5,5,86,0,96
2017,Belarus,Sweden,G,AR,P,0,0,86,10,96
2022,Azerbaijan,Sweden,G,FI,P,16,0,86,60,162
2014,Gambia,Sweden,G,AR,P,0,0,86,5,91
2017,Afghanistan,"Syrian Arab Rep.",U,FI,P,34,0,86,20,140
2019,Haiti,"United States of America",G,AR,P,23,0,86,100,209
2021,"Unknown ","United States of America",G,EO,P,66,0,86,254,406
2020,Kenya,"United States of America",G,IN,C,41,0,86,82,209
2019,Nigeria,Egypt,U,FI,P,5,0,85,215,305
2020,Eritrea,Egypt,U,FI,P,4862,0,85,772,5719
2020,Iraq,Egypt,U,FI,P,274,0,85,5,364
2014,Libya,Australia,G,FI,P,145,0,85,0,230
2017,"Sri Lanka",Belgium,G,FI,P,35,0,85,0,120
2018,"North Macedonia",Belgium,G,RA,P,5,0,85,0,90
2022,"Unknown ",Belgium,G,FI,P,253,10,85,92,440
2017,Bangladesh,Belgium,G,FI,P,5,0,85,0,90
2024,Somalia,Belgium,G,JR,P,5,0,85,14,104
2017,Algeria,Belgium,G,FI,P,25,0,85,0,110
2021,Mauritania,Belgium,G,FI,P,5,0,85,0,90
2021,"North Macedonia",Belgium,G,FI,P,5,0,85,0,90
2014,Nigeria,Belgium,G,FI,P,5,0,85,35,125
2018,Lebanon,Belgium,G,FI,P,10,0,85,0,95
2023,Chile,Canada,G,AR,P,10,0,85,10,105
2014,Cameroon,Canada,G,FI,P,145,0,85,5,235
2022,"Viet Nam",Cyprus,G,JR,P,0,0,85,203,288
2016,Somalia,Denmark,G,FI,P,0,39,85,0,124
2023,Ghana,France,G,FI,P,5,0,85,0,90
2024,Iraq,France,G,FI,P,58,37,85,5,185
2019,Mongolia,France,G,AR,P,11,5,85,0,101
2016,Cameroon,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,22,5,85,12,124
2024,Mauritius,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,0,5,85,5,95
2023,Afghanistan,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,9492,5,85,791,10373
2024,"Iran (Islamic Rep. of)",Georgia,G,FI,P,5,0,85,29,119
2022,Stateless,Germany,G,FI,P,192,44,85,62,383
2015,Ethiopia,Germany,G,NA,P,58,35,85,188,366
2018,Armenia,Germany,G,RA,P,5,18,85,477,585
2020,Azerbaijan,Germany,G,RA,P,10,5,85,268,368
2018,Montenegro,Germany,G,JR,P,0,5,85,189,279
2019,Liberia,Germany,G,NA,P,5,11,85,51,152
2019,"Dem. Rep. of the Congo",Germany,G,JR,P,0,18,85,110,213
2019,Uganda,Germany,G,NA,P,21,5,85,12,123
2017,Cameroon,Greece,G,FI,P,54,0,85,110,249
2021,Nepal,Greece,G,FI,P,10,0,85,55,150
2016,Pakistan,Ireland,G,SP,P,16,0,85,66,167
2018,India,"Rep. of Korea",G,FA,P,0,0,85,98,183
2021,Cameroon,"Rep. of Korea",G,FA,P,0,0,85,15,100
2022,Liberia,"Rep. of Korea",G,AR,C,0,0,85,10,95
2021,Mali,Mauritania,U,FI,P,2918,0,85,0,3003
2018,Afghanistan,Malaysia,U,FI,P,267,0,85,67,419
2014,Eritrea,Norway,G,FI,P,1890,0,85,374,2349
2015,"Sri Lanka",Nauru,G,FI,P,31,0,85,0,116
2023,Belarus,Poland,G,FI,P,233,2651,85,55,3024
2021,Argentina,Spain,G,FI,P,0,0,85,0,85
2018,Kazakhstan,Sweden,G,FI,P,5,5,85,97,192
2023,Kazakhstan,Sweden,G,FI,P,0,0,85,49,134
2019,Palestinian,Sweden,G,RA,P,5,5,85,14,109
2015,Azerbaijan,Sweden,G,AR,P,5,11,85,16,117
2019,Tunisia,Sweden,G,AR,P,0,0,85,14,99
2024,"Iran (Islamic Rep. of)",Switzerland,G,FI,P,47,51,85,76,259
2019,Albania,Switzerland,G,FI,P,0,19,85,33,137
2024,Tunisia,Switzerland,G,FI,P,0,0,85,328,413
2020,Georgia,Switzerland,G,FI,P,0,31,85,150,266
2019,Honduras,"United States of America",G,AR,P,11,0,85,187,283
2017,Eritrea,"United States of America",G,IN,C,328,0,85,23,436
2023,Senegal,"United States of America",G,EO,P,51,0,85,50,186
2018,Rwanda,"United States of America",G,IN,C,87,0,85,10,182
2018,Peru,"United States of America",G,IN,C,21,0,85,294,400
2023,Philippines,Australia,G,FI,P,0,0,84,568,652
2016,Egypt,Australia,G,FI,P,55,0,84,0,139
2015,Bangladesh,Australia,G,AR,C,19,0,84,5,108
2024,Samoa,Australia,G,AR,P,0,0,84,25,109
2019,Uzbekistan,Austria,G,FA,P,0,0,84,5,89
2015,Tunisia,Austria,G,FA,P,0,0,84,26,110
2015,"Iran (Islamic Rep. of)",Belgium,G,JR,C,0,0,84,26,110
2023,Algeria,Bulgaria,G,FA,P,0,0,84,71,155
2021,Philippines,Canada,G,FI,P,26,0,84,10,120
2016,Afghanistan,Canada,G,FI,P,469,0,84,22,575
2019,Somalia,Canada,G,FI,P,225,0,84,39,348
2019,"Sri Lanka",Cyprus,G,FI,P,0,0,84,42,126
2019,Stateless,Denmark,G,AR,P,0,0,84,0,84
2014,"Serbia and Kosovo: S/RES/1244 (1999)",Finland,G,FI,P,0,18,84,28,130
2018,Afghanistan,Finland,G,RA,P,41,11,84,83,219
2020,Azerbaijan,France,G,AR,P,39,0,84,5,128
2021,Djibouti,France,G,FI,P,47,5,84,10,146
2024,Brazil,France,G,FI,P,5,10,84,0,99
2021,Egypt,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,92,5,84,10,191
2014,Malawi,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,10,10,84,19,123
2019,Türkiye,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,101,0,84,5,190
2015,Lebanon,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,20,0,84,5,109
2015,"Sri Lanka",Germany,G,NA,P,65,5,84,25,179
2020,Kyrgyzstan,Germany,G,JR,P,5,17,84,50,156
2024,Ukraine,Germany,G,FI,P,0,23,84,186,293
2021,China,Germany,G,JR,P,36,5,84,127,252
2024,Somalia,Germany,G,JR,P,16,85,84,473,658
2019,Tunisia,Germany,G,JR,P,10,5,84,248,347
2020,Libya,Germany,G,JR,P,0,122,84,342,548
2024,Morocco,Germany,G,JR,P,0,5,84,194,283
2022,"Bosnia and Herzegovina",Germany,G,JR,P,0,0,84,536,620
2022,Guinea,Greece,G,FI,P,46,0,84,40,170
2015,"Iran (Islamic Rep. of)",Greece,G,FI,P,52,0,84,133,269
2021,India,Greece,G,AR,P,0,0,84,22,106
2020,Albania,Ireland,G,AR,P,28,5,84,21,138
2021,Iraq,Italy,G,FI,P,153,393,84,0,630
2016,Pakistan,Japan,G,AR,P,0,0,84,0,84
2015,India,Japan,G,FI,P,0,0,84,0,84
2022,Türkiye,"Rep. of Korea",G,AR,C,0,0,84,14,98
2018,Sudan,Lebanon,U,AR,P,5,0,84,11,100
2014,Morocco,Norway,G,AR,P,0,0,84,0,84
2024,India,Poland,G,FI,P,0,0,84,19,103
2022,Tajikistan,Poland,G,FI,P,0,39,84,35,158
2017,Afghanistan,Romania,G,FI,P,23,29,84,55,191
2019,"Unknown ",Sweden,G,FI,P,5,5,84,40,134
2021,"Russian Federation",Sweden,G,RA,P,5,0,84,22,111
2023,Mongolia,Sweden,G,FI,P,0,0,84,15,99
2016,Bangladesh,Sweden,G,AR,P,0,0,84,17,101
2023,Somalia,Sweden,G,FI,P,47,12,84,44,187
2021,Morocco,Switzerland,G,FI,P,0,5,84,490,579
2018,Somalia,Switzerland,G,FI,P,159,355,84,362,960
2015,"Iran (Islamic Rep. of)","Syrian Arab Rep.",U,AR,P,0,0,84,0,84
2024,Cameroon,"United States of America",G,EO,P,279,0,84,94,457
2024,"Unknown ","United States of America",G,AR,P,133,0,84,310,527
2022,"Unknown ","United States of America",G,EO,P,86,0,84,275,445
2021,Rwanda,"United States of America",G,IN,P,67,0,84,10,161
2018,Nicaragua,"United States of America",G,IN,C,49,0,84,142,275
2017,"Dem. Rep. of the Congo","United States of America",G,IN,C,89,0,84,22,195
2017,Nigeria,"United States of America",G,EO,P,62,0,84,39,185
2020,"Unknown ","United States of America",G,EO,P,65,0,84,264,413
2022,Cameroon,"United States of America",G,IN,P,157,0,84,88,329
2022,"Dem. Rep. of the Congo","United States of America",G,IN,P,79,0,84,55,218
2021,Bangladesh,Australia,G,FI,P,0,0,83,0,83
2020,"South Africa",Australia,G,FI,P,5,0,83,0,88
2017,Egypt,Australia,G,FI,P,22,0,83,0,105
2018,Ghana,Australia,G,FI,P,0,0,83,0,83
2022,Armenia,Austria,G,FA,P,0,15,83,5,103
2016,Albania,Austria,G,FA,P,0,5,83,16,104
2015,Togo,Belgium,G,FI,P,28,0,83,5,116
2021,Jordan,Canada,G,FI,P,308,0,83,23,414
2014,Somalia,Canada,G,FI,P,189,0,83,53,325
2019,"Venezuela (Bolivarian Republic of)",Canada,G,AR,P,38,0,83,0,121
2022,Colombia,"Costa Rica",G,FI,P,10,0,83,411,504
2021,Nepal,Cyprus,G,JR,P,0,0,83,0,83
2019,Ghana,France,G,FI,P,5,0,83,0,88
2023,Iraq,France,G,AR,P,43,34,83,45,205
2023,Nepal,France,G,AR,P,5,16,83,10,114
2017,Togo,France,G,AR,P,22,5,83,5,115
2018,Gambia,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,25,5,83,12,125
2014,Iraq,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,33,0,83,5,121
2021,Nigeria,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,60,0,83,13,156
2019,Eritrea,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,1785,5,83,193,2066
2014,Mongolia,Germany,G,NA,P,0,0,83,148,231
2019,Montenegro,Germany,G,NA,P,0,0,83,18,101
2022,Ghana,Germany,G,JR,P,5,16,83,220,324
2017,Jamaica,Germany,G,NA,P,44,0,83,10,137
2022,"Rep. of Moldova",Germany,G,RA,P,0,0,83,2657,2740
2016,Afghanistan,Germany,G,RA,P,166,169,83,447,865
2022,"Dem. Rep. of the Congo",Germany,G,JR,P,0,22,83,90,195
2017,Gambia,Germany,G,RA,P,0,10,83,301,394
2023,India,Germany,G,JR,P,13,5,83,263,364
2021,Ghana,Greece,G,FI,P,14,0,83,51,148
2014,China,Greece,G,AR,P,5,15,83,141,244
2018,"Dem. Rep. of the Congo",Ireland,G,FI,P,12,11,83,5,111
2023,"Dem. Rep. of the Congo",Ireland,G,FI,P,25,5,83,0,113
2018,Georgia,Ireland,G,AR,P,11,0,83,25,119
2017,"Iran (Islamic Rep. of)",Italy,G,FI,P,83,63,83,62,291
2017,Afghanistan,Kyrgyzstan,G,FI,P,5,0,83,18,106
2018,Liberia,"Rep. of Korea",G,FA,P,0,0,83,15,98
2014,Iraq,Lebanon,U,FI,P,1608,0,83,187,1878
2014,Albania,Luxembourg,G,FI,P,0,0,83,10,93
2016,Guinea,Morocco,U,FI,P,13,0,83,97,193
2024,Colombia,"Netherlands (Kingdom of the)",G,FI,P,5,0,83,36,124
2022,Algeria,"Netherlands (Kingdom of the)",G,FI,P,0,0,83,382,465
2019,Ethiopia,Norway,G,AR,P,0,0,83,12,95
2020,Stateless,Norway,G,AR,P,0,0,83,14,97
2022,Türkiye,Romania,G,FI,P,19,0,83,334,436
2018,Senegal,"South Africa",G,FI,P,0,0,83,0,83
2019,Cameroon,Spain,G,FI,P,32,0,83,0,115
2022,Yemen,Spain,G,FI,P,13,119,83,85,300
2020,Türkiye,Spain,G,FI,P,78,0,83,0,161
2020,Lebanon,Sweden,G,RA,P,0,0,83,5,88
2015,Sudan,Sweden,G,AR,P,0,5,83,5,93
2019,Eritrea,Sweden,G,FI,P,549,52,83,139,823
2015,Mongolia,Switzerland,G,FI,P,0,12,83,11,106
2019,Afghanistan,Switzerland,G,FI,P,374,1374,83,319,2150
2014,"Cote d'Ivoire",Switzerland,G,FI,P,12,19,83,22,136
2021,"Viet Nam",Thailand,U,FI,P,102,0,83,65,250
2024,Georgia,"United States of America",G,EO,P,177,0,83,109,369
2018,Peru,"United States of America",G,EO,P,24,0,83,76,183
2023,"Unknown ","United States of America",G,EO,P,90,0,83,273,446
2022,"Unknown ","United States of America",G,IN,P,57,0,83,89,229
2021,Liberia,"United States of America",G,IN,P,33,0,83,41,157
2017,Nigeria,Egypt,U,FI,P,5,0,82,930,1017
2018,Cuba,Argentina,G,AR,P,0,0,82,0,82
2014,Cuba,Argentina,G,FI,P,0,0,82,22,104
2015,China,Austria,G,FA,P,54,0,82,46,182
2022,Georgia,Belgium,G,JR,P,0,0,82,19,101
2022,Iraq,Belgium,G,JR,P,5,5,82,121,213
2014,Mauritania,Belgium,G,FI,P,67,5,82,77,231
2018,Ghana,Canada,G,FI,P,57,0,82,14,153
2024,"Dem. Rep. of the Congo",Canada,G,AR,P,15,0,82,17,114
2015,"Viet Nam",Cyprus,G,FI,P,0,0,82,14,96
2020,Stateless,Denmark,G,AR,P,0,0,82,0,82
2017,Rwanda,France,G,FI,P,93,0,82,5,180
2023,Brazil,France,G,AR,P,5,10,82,12,109
2024,"Dem. Rep. of the Congo","United Kingdom of Great Britain and Northern Ireland",G,FI,P,32,13,82,13,140
2018,Sudan,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,295,0,82,38,415
2023,Türkiye,Georgia,G,FI,P,0,0,82,85,167
2014,Guinea-Bissau,Germany,G,NA,P,0,0,82,150,232
2023,"El Salvador",Germany,G,FI,P,0,35,82,14,131
2018,Benin,Germany,G,NA,P,0,0,82,62,144
2021,Georgia,Germany,G,RA,P,0,5,82,596,683
2017,Mauritania,Germany,G,NA,P,16,5,82,35,138
2018,"Burkina Faso",Germany,G,NA,P,5,0,82,58,145
2015,Sudan,Greece,G,FI,P,59,13,82,66,220
2014,Nigeria,India,U,FI,P,0,0,82,0,82
2016,Nigeria,Ireland,G,AR,P,12,0,82,59,153
2019,Malawi,Ireland,G,FI,P,10,5,82,5,102
2020,Honduras,Italy,G,FI,P,67,72,82,0,221
2024,"Russian Federation",Italy,G,FI,P,108,10,82,21,221
2017,"Syrian Arab Rep.",Italy,G,FI,P,1009,22,82,77,1190
2019,"Iran (Islamic Rep. of)",Italy,G,FI,P,182,5,82,0,269
2018,Bangladesh,Japan,G,AR,P,0,0,82,0,82
2014,Ukraine,Kazakhstan,G,FI,P,0,0,82,10,92
2014,Afghanistan,Kazakhstan,G,FI,P,63,0,82,5,150
2023,Kyrgyzstan,"Rep. of Korea",G,FI,P,0,0,82,76,158
2022,Ethiopia,"Rep. of Korea",G,FI,C,5,0,82,5,92
2017,"South Africa","Rep. of Korea",G,FA,P,0,0,82,12,94
2015,Pakistan,"Sri Lanka",U,AR,P,38,0,82,0,120
2016,Cameroon,Morocco,U,FI,P,24,0,82,219,325
2023,Morocco,"Netherlands (Kingdom of the)",G,RA,P,0,0,82,54,136
2022,Georgia,"Netherlands (Kingdom of the)",G,FI,P,0,0,82,44,126
2021,Afghanistan,"Netherlands (Kingdom of the)",G,FI,P,2344,313,82,118,2857
2023,Afghanistan,Norway,G,FI,P,172,91,82,74,419
2020,Iraq,Norway,G,AR,P,10,0,82,5,97
2024,India,"New Zealand",G,FI,P,0,0,82,56,138
2020,Türkiye,Romania,G,FI,P,17,0,82,199,298
2015,Algeria,"South Africa",G,FI,P,0,0,82,0,82
2017,India,"South Africa",G,AR,P,0,0,82,515,597
2016,Afghanistan,Slovenia,G,FI,P,0,13,82,249,344
2023,Morocco,Sweden,G,AR,P,0,0,82,12,94
2016,Kyrgyzstan,Sweden,G,FI,P,5,0,82,131,218
2016,Ethiopia,Sweden,G,RA,P,23,13,82,25,143
2015,Algeria,Sweden,G,AR,P,0,0,82,13,95
2021,Georgia,Switzerland,G,FI,P,0,19,82,202,303
2014,Ethiopia,Uganda,G,FA,P,333,0,82,39,454
2023,"Iran (Islamic Rep. of)","United States of America",G,IN,P,505,0,82,105,692
2018,Guinea,"United States of America",G,IN,C,74,0,82,40,196
2020,Jamaica,"United States of America",G,EO,P,0,0,82,32,114
2022,Armenia,"United States of America",G,IN,P,60,0,82,105,247
2017,Senegal,"United States of America",G,EO,P,14,0,82,5,101
2020,Indonesia,"United States of America",G,IN,C,18,0,82,65,165
2022,Guinea,Algeria,U,FI,P,10,0,81,43,134
2017,Cuba,Argentina,G,AR,P,0,0,81,15,96
2024,Afghanistan,Austria,G,FA,P,865,524,81,266,1736
2022,Pakistan,Azerbaijan,G,FI,P,0,0,81,26,107
2015,Iraq,Belgium,G,JR,C,5,5,81,24,115
2023,Georgia,Belgium,G,JR,P,0,0,81,0,81
2017,Bangladesh,Brazil,G,FI,P,0,0,81,0,81
2017,Hungary,Canada,G,AR,P,5,0,81,10,96
2019,Lebanon,Canada,G,FI,P,158,0,81,14,253
2020,Jamaica,Canada,G,FI,P,92,0,81,13,195
2021,Palestinian,France,G,FI,P,76,5,81,0,162
2024,Gambia,France,G,FI,P,14,0,81,0,95
2018,Nepal,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,0,5,81,34,120
2022,Nigeria,"United Kingdom of Great Britain and Northern Ireland",G,AR,C,49,0,81,10,140
2022,Libya,Germany,G,JR,P,5,41,81,348,475
2020,Angola,Germany,G,NA,P,5,33,81,161,280
2017,"United Rep. of Tanzania",Germany,G,NA,P,24,13,81,38,156
2021,Tunisia,Germany,G,JR,P,5,5,81,266,357
2015,Senegal,Greece,G,FI,P,0,0,81,15,96
2019,Algeria,Croatia,G,FI,P,0,0,81,10,91
2017,"North Macedonia",Iceland,G,FI,P,0,0,81,149,230
2018,Georgia,Iceland,G,AR,P,0,0,81,5,86
2015,Myanmar,India,U,AR,P,5,0,81,0,86
2024,"South Africa",Ireland,G,AR,P,27,5,81,15,128
2023,Ghana,"Rep. of Korea",G,AR,P,0,0,81,0,81
2017,Uzbekistan,"Rep. of Korea",G,FA,P,0,0,81,11,92
2023,Chile,Mexico,G,FI,P,20,73,81,1420,1594
2020,"Venezuela (Bolivarian Republic of)",Mexico,G,FI,P,4232,12,81,219,4544
2020,Cameroon,Morocco,U,FI,P,28,0,81,0,109
2020,"Cote d'Ivoire",Morocco,U,FI,P,22,0,81,10,113
2017,Ukraine,Malta,G,FI,P,0,10,81,18,109
2023,Georgia,"Netherlands (Kingdom of the)",G,FI,P,0,0,81,38,119
2014,"Sierra Leone","Netherlands (Kingdom of the)",G,FI,P,5,31,81,0,117
2023,"Syrian Arab Rep.",Norway,G,FI,P,1326,0,81,174,1581
2024,Malaysia,"New Zealand",G,FI,P,5,0,81,15,101
2024,Ecuador,Spain,G,FI,P,0,5,81,10,96
2014,Algeria,Sweden,G,FI,P,0,11,81,331,423
2020,Sudan,Sweden,G,FI,P,34,0,81,23,138
2020,Gambia,Sweden,G,AR,P,0,0,81,5,86
2024,"Syrian Arab Rep.",Sweden,G,FI,P,105,154,81,96,436
2022,Somalia,Sweden,G,FI,P,48,5,81,65,199
2017,Libya,Sweden,G,AR,P,5,0,81,10,96
2017,Colombia,Sweden,G,AR,P,0,0,81,5,86
2023,Albania,Sweden,G,AR,P,0,0,81,12,93
2024,Guinea,Switzerland,G,FI,P,5,11,81,112,209
2014,Sudan,Switzerland,G,FI,P,34,18,81,14,147
2022,"Iran (Islamic Rep. of)","United States of America",G,IN,P,356,0,81,105,542
2017,Brazil,"United States of America",G,EO,P,11,0,81,85,177
2018,Liberia,"United States of America",G,IN,C,140,0,81,68,289
2018,"Dem. Rep. of the Congo","United States of America",G,EO,P,45,0,81,10,136
2017,Nepal,"United States of America",G,EO,P,185,0,81,42,308
2023,"Unknown ","United States of America",G,AR,P,250,0,81,390,721
2024,Nigeria,Egypt,U,AR,P,0,0,80,57,137
2018,Nepal,Australia,G,FI,P,0,0,80,15,95
2022,Afghanistan,Austria,G,FA,P,1882,1608,80,16803,20373
2014,Afghanistan,Azerbaijan,U,FI,P,53,0,80,24,157
2014,Algeria,Belgium,G,FI,P,19,0,80,44,143
2017,Egypt,Belgium,G,FI,P,25,0,80,0,105
2014,Morocco,Belgium,G,FI,P,26,0,80,54,160
2020,Rwanda,Belgium,G,RA,P,5,0,80,0,85
