un-mechanism-code,un-mechanism,year,country,concerned-group,human-rights-theme,annotaion-type,term
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Educational staff & students,Right to education,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Vulnerable persons/groups,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Vulnerable persons/groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Vulnerable persons/groups,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Vulnerable persons/groups,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Private life & privacy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian, Human rights & counter-terrorism,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Private life & privacy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay, Human rights & counter-terrorism,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Private life & privacy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual, Human rights & counter-terrorism,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Private life & privacy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender, Human rights & counter-terrorism,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI), Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Private life & privacy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI), Human rights & counter-terrorism,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Data collection & research,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Minorities/ racial,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Data collection & research,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,ethnic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Data collection & research,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,linguistic,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Support to victims & witnesses,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Data collection & research,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,religious or descent-based groups,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Administration of justice & fair trial,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Right to life,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Liberty & security of the person,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,"Freedom of thought, conscience & religion",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Rule of law & impunity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Administration of justice & fair trial,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Human rights defenders & activists,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Civil society,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Lesbian,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,gay,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,bisexual,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,transgender,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI), Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,intersex persons (LGBTI),Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls, Right to physical & moral integrity,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Access to justice & remedy,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Human rights & the environment,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Right to peaceful assembly,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Discrimination against women,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,Women & girls,Freedom of opinion and expression & access to information,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2020,Poland,not provided,Cooperation & Follow up with Treaty Bodies,Concerns/Observations,not provided
